"No. 38 Squadron RAF","motto","newVal","2010-01-22 15:17:39.000000"
"No. 38 Squadron RAF","identification_symbol","newVal","2010-01-22 15:17:39.000000"
"No. 38 Squadron RAF","dates","newVal","2010-01-23 15:17:39.000000"
"No. 38 Squadron RAF","dates","newVal","2010-01-24 15:17:39.000000"
"No. 38 Squadron RAF","battle_honours","newVal","2010-02-23 15:17:39.000000"
"No. 38 Squadron RAF","battle_honours","newVal","2010-02-24 15:17:39.000000"
"No. 38 Squadron RAF","notable_commanders","newVal","2010-02-23 15:17:39.000000"
"No. 38 Squadron RAF","teams","newVal","2012-02-06 06:19:56.000000"
"No. 38 Squadron RAF","birth_date","newVal","2011-03-19 23:26:01.000000"
"No. 38 Squadron RAF","birth_date","newVal","2011-03-20 23:26:01.000000"
"No. 38 Squadron RAF","birth_place","newVal","2011-04-19 23:26:01.000000"
"No. 38 Squadron RAF","stat1label","newVal","2011-05-22 16:21:26.000000"
